Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,4324.03052972222,-3.9264
1990,1,2,0,1641.80087409722,-3.5087
1990,1,3,0,949.634566592593,-2.90423
1990,1,4,0,798.109343175926,-4.58059
1990,1,5,3.6598,749.439399462963,-4.39743
1990,1,6,0.0886264,768.851235930556,-4.8316
1990,1,7,0,803.11113768287,-7.09194
1990,1,8,0,826.414286990741,-7.82738
1990,1,9,0.00852064,841.274690960648,-5.80496
1990,1,10,0.000775542,853.900250576389,-4.23143
1990,1,11,0,858.462479423611,-4.72365
1990,1,12,0,853.212368877315,-5.14516
1990,1,13,0,843.628295159722,-5.23165
1990,1,14,0,834.821558608796,-4.77339
1990,1,15,0.15835,828.209565685185,-3.92197
1990,1,16,0.279033,823.378970435185,1.31843
1990,1,17,0.760418,828.565845219907,4.28675
1990,1,18,0.452259,919.400160881944,0.568236
1990,1,19,0.00099939,1003.36799823843,-1.24348
1990,1,20,1.43006,979.707027060185,0.453232
1990,1,21,0.479443,940.938878208333,2.94882
1990,1,22,0.00578774,955.168466898148,2.47917
1990,1,23,0.727293,987.941557085648,1.39838
1990,1,24,2.46145,961.128051842593,2.39239
1990,1,25,3.18193,940.53324393287,4.10816
1990,1,26,2.47333,1001.5187377963,2.96661
1990,1,27,0.0298867,1110.59579950463,1.42156
1990,1,28,2.24796,1127.91005949074,2.94579
1990,1,29,0.396265,1071.29400251852,1.90658
1990,1,30,0.0194252,1019.4668977338,2.19336
1990,1,31,0.000216426,977.259340386574,2.94703
1990,2,1,0.00528771,947.385841217593,2.61922
1990,2,2,1.60102,918.974476243055,2.07156
1990,2,3,0.207921,896.482595486111,4.29967
1990,2,4,0.000425154,881.7085623125,3.41258
1990,2,5,0,869.147780793981,2.00987
1990,2,6,0,866.857412356481,2.775
1990,2,7,0,859.01309325,3.68891
1990,2,8,1.61838,852.268459460648,5.7037
1990,2,9,7.79574e-05,849.354987421296,1.95929
1990,2,10,2.08755,857.652753208333,1.18954
1990,2,11,3.62717,883.1244264375,0.100135
1990,2,12,3.39796,910.284957201389,-0.775048
1990,2,13,12.5336,945.308315099537,-0.707355
1990,2,14,25.2488,1202.92926541667,1.8698
1990,2,15,17.0319,2345.79998069444,1.69803
1990,2,16,1.45622,3352.57499837963,-0.389725
1990,2,17,0.191536,3363.15542092593,0.503487
1990,2,18,0,2897.23124497685,3.42817
1990,2,19,0,2557.40843162037,4.83926
1990,2,20,0,2362.14873856481,5.85032
1990,2,21,0,2261.54218423611,5.95974
1990,2,22,0,2323.12764666667,6.05161
1990,2,23,0,2429.14779912037,5.29588
1990,2,24,0,2393.21137851852,6.30712
1990,2,25,0.011307,2319.73450824074,7.85524
1990,2,26,8.99104,2284.09113141204,6.37025
1990,2,27,14.7963,2468.95548219907,2.34203
1990,2,28,10.5132,3043.99990525463,2.11418
1990,3,1,3.04036,3361.24292472222,1.46041
1990,3,2,2.74093,3312.90612550926,-1.14112
1990,3,3,0.868922,3052.76037173611,-1.98349
1990,3,4,0,2745.83557775463,0.656128
1990,3,5,0.00432182,2507.74522375,2.93524
1990,3,6,0.00127267,2366.34389152778,5.64466
1990,3,7,0,2264.22584826389,5.95182
1990,3,8,0.0589373,2169.66524967593,6.43173
1990,3,9,2.24563,2089.30956240741,6.72342
1990,3,10,4.69541,2087.90603696759,5.63203
1990,3,11,0,2255.40368835648,9.41932
1990,3,12,0,2380.733883125,8.20172
1990,3,13,0,2249.91297344907,5.97496
1990,3,14,0.941027,2103.2214299537,5.85167
1990,3,15,0.0236416,1999.63816782407,6.27226
1990,3,16,0,1936.78799016204,5.59478
1990,3,17,0,1882.28184835648,6.39363
1990,3,18,0,1806.79994173611,7.46772
1990,3,19,0,1726.08951726852,7.70343
1990,3,20,0.387224,1644.66961840278,8.42111
1990,3,21,0,1571.67087217593,11.8961
1990,3,22,4.39445,1519.53838493287,12.9217
1990,3,23,1.45847,1573.13609104167,6.52517
1990,3,24,0.384211,1764.72502525463,7.21886
1990,3,25,3.61182,1825.98659719907,3.12904
1990,3,26,1.71003,1731.33345847222,1.00995
1990,3,27,4.99472,1652.90569076389,2.56226
1990,3,28,3.19352,1585.73697328704,3.28735
1990,3,29,6.36178,1594.03473907407,3.51403
1990,3,30,0.129923,1727.07661208333,5.00882
1990,3,31,0,1825.09204252315,6.81449
1990,4,1,0,1712.03883951389,8.9709
1990,4,2,0.00361891,1584.74987847222,9.93599
1990,4,3,4.1595,1493.65953509259,8.76367
1990,4,4,1.10989,1472.97064470833,3.65057
1990,4,5,0.75456,1496.5714647963,3.27298
1990,4,6,1.69565,1460.85405585648,4.39934
1990,4,7,13.8745,1478.46907129398,3.58235
1990,4,8,1.4254,1724.37752469907,1.75341
1990,4,9,0.384973,1945.02406252315,1.94887
1990,4,10,0.920257,1851.91325944444,2.83473
1990,4,11,7.3095,1695.90600863426,1.97945
1990,4,12,1.25963,1657.90285826389,2.57418
1990,4,13,0.0234474,1723.05111604167,4.59619
1990,4,14,1.46731,1665.8921569213,5.9723
1990,4,15,3.903,1557.034106875,5.31334
1990,4,16,0.543109,1504.34946346991,4.25135
1990,4,17,1.8079,1501.65963009954,4.81381
1990,4,18,4.05374,1463.59632863889,4.0251
1990,4,19,5.9536,1458.05934366204,3.98709
1990,4,20,0.645553,1540.12548116435,6.57499
1990,4,21,3.33409,1621.14899976852,7.18112
1990,4,22,1.01023,1537.67470981944,7.51523
1990,4,23,12.0423,1521.15475269213,5.89792
1990,4,24,4.70986,1770.6630175,6.4529
1990,4,25,3.89929,2031.44112888889,6.6295
1990,4,26,3.12199,2094.229613125,6.93337
1990,4,27,3.80084,2159.22363733796,6.98618
1990,4,28,0.317709,2194.23465655093,5.30886
1990,4,29,0,2132.97308460648,6.78836
1990,4,30,0.0112309,1940.92144969907,9.08086
1990,5,1,0,1742.65420212963,12.0874
1990,5,2,0,1610.15214659722,13.3317
1990,5,3,0,1554.7822968287,11.7627
1990,5,4,0,1565.59406972222,13.0458
1990,5,5,0.013106,1589.42315548611,14.0601
1990,5,6,0.898615,1587.72658627315,13.1877
1990,5,7,1.86517,1574.87893032407,12.7483
1990,5,8,0.996395,1575.74263828704,12.6207
1990,5,9,2.11349,1592.53867349537,13.5328
1990,5,10,1.99268,1611.01585456019,14.0503
1990,5,11,6.8329,1663.28560967593,12.5785
1990,5,12,2.12547,1748.40711409722,11.7616
1990,5,13,1.28434,1792.54876034722,13.1361
1990,5,14,1.77315,1734.44897648148,13.6099
1990,5,15,1.47674,1688.27144717593,14.1361
1990,5,16,0.668376,1686.72911152778,15.1867
1990,5,17,1.95221,1686.46691446759,14.9197
1990,5,18,0.49498,1667.37279914352,13.0768
1990,5,19,0.334695,1625.39042280093,12.1176
1990,5,20,0.314752,1573.04355090278,12.4139
1990,5,21,3.13704,1529.39390972454,13.5096
1990,5,22,1.63963,1526.72258438194,14.0663
1990,5,23,1.25733,1566.88963166667,15.1258
1990,5,24,8.46419,1576.37499590278,15.0079
1990,5,25,11.6244,1637.37437078704,10.2785
1990,5,26,0.000683416,1906.91294865741,9.30987
1990,5,27,0.00419389,2195.36056157407,9.67738
1990,5,28,1.91787,2137.22993099537,8.55399
1990,5,29,0.0174317,1941.67719416667,7.37062
1990,5,30,0,1768.45747752315,9.06207
1990,5,31,0,1648.60257430556,10.9749
1990,6,1,0.0611026,1556.21666898148,13.0141
1990,6,2,11.2425,1485.75660723148,12.8375
1990,6,3,4.16492,1518.05774271065,10.9146
1990,6,4,2.47811,1686.48233782407,11.3062
1990,6,5,6.32334,1814.29569298611,12.6566
1990,6,6,4.22425,1888.6825412963,11.2721
1990,6,7,5.18922,1972.73983412037,13.4454
1990,6,8,12.0066,2020.38258229167,11.3362
1990,6,9,6.81552,2157.88180532407,10.0369
1990,6,10,10.7408,2396.558246875,8.59609
1990,6,11,1.1157,2749.13617604167,10.5629
1990,6,12,10.9699,2816.96809784722,12.1701
1990,6,13,6.28967,2806.04836145833,11.9613
1990,6,14,5.51171,2903.92498168982,12.585
1990,6,15,4.62047,2934.71000122685,12.0145
1990,6,16,0.858845,2908.15098136574,12.1835
1990,6,17,0.0121913,2717.14813469907,13.7795
1990,6,18,1.95095,2455.04361465278,14.9117
1990,6,19,0.15874,2258.303279375,17.4647
1990,6,20,10.4969,2166.48803824074,17.8903
1990,6,21,3.80204,2283.99859127315,14.7155
1990,6,22,7.83849,2443.58406078704,14.0042
1990,6,23,4.70473,2541.02882703704,11.4915
1990,6,24,0.267439,2538.85413377315,13.4766
1990,6,25,0,2446.62246201389,16.4545
1990,6,26,0.0174454,2264.41092854167,18.6358
1990,6,27,5.63601,2083.52580372685,19.3321
1990,6,28,4.84958,2033.46158858796,18.1864
1990,6,29,4.09287,2117.44176462963,19.5773
1990,6,30,9.98799,2202.16226178241,20.7755
1990,7,1,5.49255,2324.51574875,15.9925
1990,7,2,3.61153,2490.22429078704,12.7887
1990,7,3,17.638,2688.38357486111,13.2827
1990,7,4,6.0585,3122.59732988426,11.6019
1990,7,5,8.34,3354.04021724537,13.9044
1990,7,6,3.31291,3320.32475997685,11.391
1990,7,7,7.4594,3163.99361868056,11.2858
